#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	REF_ALLELE	UPLOADED_ALLELE	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	MANE	MANE_SELECT	MANE_PLUS_CLINICAL	TSL	APPRIS	SIFT	PolyPhen	AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE	TRANSCRIPTION_FACTORS
chr1_19288433_rs117022236	1:19288432-19288434	rs117022236	intron_variant	MODIFIER	AKR7A3	ENSG00000162482	Transcript	ENST00000361640.5	protein_coding	-	1/6	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:390	MANE_Select	NM_012067.3	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_19693031_rs115078773	1:19693030-19693032	rs115078773	intron_variant	MODIFIER	TMCO4	ENSG00000162542	Transcript	ENST00000294543.11	protein_coding	-	15/15	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:27393	MANE_Select	NM_181719.7	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_19693031_rs115078773	1:19693030-19693032	rs115078773	intron_variant	MODIFIER	TMCO4	ENSG00000162542	Transcript	ENST00000375127.5	protein_coding	-	14/15	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:27393	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_19693031_rs115078773	1:19693030-19693032	rs115078773	intron_variant,non_coding_transcript_variant	MODIFIER	TMCO4	ENSG00000162542	Transcript	ENST00000489814.5	protein_coding_CDS_not_defined	-	4/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:27393	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_19693031_rs115078773	1:19693030-19693032	rs115078773	downstream_gene_variant	MODIFIER	TMCO4	ENSG00000162542	Transcript	ENST00000494342.1	protein_coding_CDS_not_defined	-	-	-	-	-	-	-	-	-	-	-	-	1460	-1	-	HGNC	HGNC:27393	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	intron_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000314675.11	protein_coding	-	4/10	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	-	-	-	2	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	coding_sequence_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000357089.8	protein_coding	7/14	-	-	-	426-427	350-351	117	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	-	-	-	5	P2	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	coding_sequence_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000374215.5	protein_coding	8/10	-	-	-	531-532	335-336	112	-	-	-	-	-	-	-1	cds_end_NF	HGNC	HGNC:30600	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	coding_sequence_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000374217.7	protein_coding	8/15	-	-	-	815-816	350-351	117	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	-	-	-	2	P2	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	coding_sequence_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000374221.7	protein_coding	9/16	-	-	-	663-664	449-450	150	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	-	-	-	2	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	coding_sequence_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000374222.6	protein_coding	8/15	-	-	-	529-530	449-450	150	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	MANE_Select	NM_001389556.1	-	5	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	intron_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000374223.5	protein_coding	-	5/11	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	downstream_gene_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000421827.2	protein_coding	-	-	-	-	-	-	-	-	-	-	-	-	2632	-1	cds_end_NF	HGNC	HGNC:30600	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
